"stem","sentiment"
"abid","1"
"abil","1"
"abl","1"
"abound","1"
"absolv","1"
"absorb","1"
"absorpt","1"
"abund","1"
"acced","1"
"accentu","1"
"accept","1"
"access","1"
"acclaim","1"
"acclam","1"
"accolad","1"
"accommod","1"
"accompani","1"
"accomplish","1"
"accord","1"
"account","1"
"accru","1"
"accuraci","1"
"accur","1"
"achiev","1"
"acknowledg","1"
"acquaint","1"
"acquit","1"
"acquitt","1"
"actual","1"
"adam","1"
"adapt","1"
"adept","1"
"adequ","1"
"adher","1"
"adhes","1"
"adjunct","1"
"adjust","1"
"admir","1"
"admit","1"
"admitt","1"
"ador","1"
"adorn","1"
"adroit","1"
"adul","1"
"adult","1"
"advanc","1"
"advantag","1"
"advent","1"
"adventuresom","1"
"adventur","1"
"advis","1"
"advocaci","1"
"affabl","1"
"affection","1"
"affili","1"
"affin","1"
"affirm","1"
"affix","1"
"affluenc","1"
"affluent","1"
"afloat","1"
"aggreg","1"
"agil","1"
"agreeabl","1"
"agreement","1"
"aid","1"
"alert","1"
"alight","1"
"aliv","1"
"allegi","1"
"allevi","1"
"allianc","1"
"alli","1"
"allow","1"
"allur","1"
"almighti","1"
"altruist","1"
"amaz","1"
"amelior","1"
"amen","1"
"amiabl","1"
"amic","1"
"amnesti","1"
"amour","1"
"ampl","1"
"amplifi","1"
"ampli","1"
"amus","1"
"angel","1"
"anoint","1"
"apocalyps","1"
"appeal","1"
"appeas","1"
"append","1"
"applaud","1"
"applaus","1"
"appoint","1"
"appreci","1"
"apprehend","1"
"approach","1"
"appropri","1"
"approv","1"
"apt","1"
"aptitud","1"
"arbit","1"
"arbitr","1"
"ardent","1"
"arisen","1"
"aristocraci","1"
"aristocrat","1"
"art","1"
"ascrib","1"
"aspir","1"
"assent","1"
"assert","1"
"asset","1"
"assist","1"
"associ","1"
"assur","1"
"astound","1"
"astut","1"
"athlet","1"
"attach","1"
"attain","1"
"attend","1"
"attent","1"
"attract","1"
"attun","1"
"audibl","1"
"augment","1"
"auspici","1"
"authent","1"
"authorit","1"
"author","1"
"autonom","1"
"avail","1"
"avid","1"
"award","1"
"awar","1"
"back","1"
"backbon","1"
"backer","1"
"ball","1"
"balmi","1"
"baptism","1"
"baptiz","1"
"bargain","1"
"basic","1"
"beacon","1"
"beauteous","1"
"beautifi","1"
"beauti","1"
"befit","1"
"befriend","1"
"behalf","1"
"belov","1"
"benefactor","1"
"benefic","1"
"benefici","1"
"beneficiari","1"
"benefit","1"
"benevol","1"
"benign","1"
"bequeath","1"
"best","1"
"bestow","1"
"betroth","1"
"better","1"
"blameless","1"
"bless","1"
"bliss","1"
"blith","1"
"bloom","1"
"blossom","1"
"bold","1"
"bolster","1"
"bonni","1"
"bonus","1"
"boom","1"
"boost","1"
"boundless","1"
"bounti","1"
"braini","1"
"brave","1"
"braveri","1"
"breadwinn","1"
"bright","1"
"brillianc","1"
"brilliant","1"
"brotherhood","1"
"brother","1"
"buoyant","1"
"buy","1"
"call","1"
"calm","1"
"candid","1"
"candor","1"
"capabl","1"
"care","1"
"carefre","1"
"caress","1"
"casual","1"
"ceaseless","1"
"celebr","1"
"ceremoni","1"
"champ","1"
"champion","1"
"championship","1"
"charisma","1"
"charit","1"
"chariti","1"
"charm","1"
"chast","1"
"cheer","1"
"cheeri","1"
"cherish","1"
"cherub","1"
"chic","1"
"chivalr","1"
"chivalri","1"
"chosen","1"
"chum","1"
"civil","1"
"clarifi","1"
"clariti","1"
"classic","1"
"clean","1"
"cleanli","1"
"cleans","1"
"clear","1"
"clever","1"
"clout","1"
"co-oper","1"
"coax","1"
"coddl","1"
"coexist","1"
"cogent","1"
"cogniz","1"
"coher","1"
"cohes","1"
"cohort","1"
"coincid","1"
"collabor","1"
"colleagu","1"
"coloss","1"
"comeback","1"
"comedi","1"
"come","1"
"comest","1"
"comfort","1"
"comic","1"
"commemor","1"
"commenc","1"
"commend","1"
"commensur","1"
"commiss","1"
"commodi","1"
"commonsens","1"
"communal","1"
"commune","1"
"communic","1"
"communion","1"
"communiti","1"
"companion","1"
"companionship","1"
"compani","1"
"compass","1"
"compassion","1"
"compat","1"
"compens","1"
"complement","1"
"complementari","1"
"complet","1"
"complianc","1"
"compliment","1"
"composur","1"
"comprehend","1"
"comprehens","1"
"compromis","1"
"concess","1"
"conclus","1"
"concur","1"
"condon","1"
"conduc","1"
"confeder","1"
"confer","1"
"confid","1"
"congeni","1"
"congratul","1"
"congratulatori","1"
"congreg","1"
"conjunct","1"
"conjur","1"
"connect","1"
"conquer","1"
"conqueror","1"
"conquest","1"
"conscienc","1"
"conscienti","1"
"consensus","1"
"consent","1"
"conserv","1"
"consid","1"
"consider","1"
"consign","1"
"consist","1"
"consol","1"
"consolid","1"
"constanc","1"
"construct","1"
"consult","1"
"consumm","1"
"contact","1"
"content","1"
"continu","1"
"contribut","1"
"contributor","1"
"conven","1"
"convinc","1"
"cooper","1"
"coordin","1"
"cordial","1"
"correct","1"
"council","1"
"counsel","1"
"courag","1"
"courteous","1"
"courtesi","1"
"court","1"
"coven","1"
"cozi","1"
"creat","1"
"creativ","1"
"credenti","1"
"credibl","1"
"credit","1"
"crusad","1"
"cuddl","1"
"culmin","1"
"cultiv","1"
"cultur","1"
"cupid","1"
"cure","1"
"curtsey","1"
"cute","1"
"danc","1"
"dare","1"
"darl","1"
"dauntless","1"
"dawn","1"
"dazzl","1"
"dear","1"
"decenc","1"
"decent","1"
"deciph","1"
"decor","1"
"dedic","1"
"deduc","1"
"defer","1"
"definit","1"
"delicaci","1"
"delic","1"
"delight","1"
"descri","1"
"deserv","1"
"devot","1"
"devout","1"
"dexter","1"
"dig","1"
"dignifi","1"
"digniti","1"
"dilig","1"
"discern","1"
"discreet","1"
"discret","1"
"discuss","1"
"distinct","1"
"distinguish","1"
"divin","1"
"donat","1"
"dote","1"
"doubtless","1"
"dreamland","1"
"durabl","1"
"dynam","1"
"eager","1"
"earnest","1"
"eas","1"
"easi","1"
"econom","1"
"ecstasi","1"
"ecstat","1"
"edibl","1"
"educ","1"
"effect","1"
"efficaci","1"
"effici","1"
"elabor","1"
"elat","1"
"eleg","1"
"eloqu","1"
"embellish","1"
"embrac","1"
"emin","1"
"empathi","1"
"empow","1"
"empower","1"
"enabl","1"
"enchant","1"
"encourag","1"
"endear","1"
"endors","1"
"endow","1"
"endur","1"
"energet","1"
"energ","1"
"engag","1"
"enhanc","1"
"enjoy","1"
"enlighten","1"
"enrich","1"
"ensembl","1"
"ensur","1"
"entertain","1"
"enthusiasm","1"
"enthusiast","1"
"entrepreneuri","1"
"entrust","1"
"envis","1"
"equal","1"
"equit","1"
"equiti","1"
"essenti","1"
"establish","1"
"esteem","1"
"ethic","1"
"etiquett","1"
"everlast","1"
"exact","1"
"exalt","1"
"excel","1"
"excit","1"
"excited","1"
"exert","1"
"exhilar","1"
"exot","1"
"experi","1"
"expert","1"
"exquisit","1"
"extol","1"
"extraordinari","1"
"exuber","1"
"exult","1"
"eye","1"
"fabul","1"
"facilit","1"
"factual","1"
"fair","1"
"faith","1"
"fame","1"
"familiar","1"
"famous","1"
"fanci","1"
"fantast","1"
"fantasi","1"
"farsight","1"
"fascin","1"
"fashion","1"
"favor","1"
"favorit","1"
"fearless","1"
"feasibl","1"
"feast","1"
"fellow","1"
"fellowship","1"
"fertil","1"
"fervent","1"
"fervor","1"
"festiv","1"
"fidel","1"
"fieri","1"
"filial","1"
"fill","1"
"firm","1"
"fit","1"
"flair","1"
"flashi","1"
"flatter","1"
"flatteri","1"
"flaunt","1"
"flawless","1"
"flexibl","1"
"flirt","1"
"flourish","1"
"fluent","1"
"fond","1"
"foremost","1"
"foresight","1"
"forgav","1"
"forgiv","1"
"forgiven","1"
"formal","1"
"fortifi","1"
"fortitud","1"
"fortun","1"
"forward","1"
"foster","1"
"fragrant","1"
"frank","1"
"free","1"
"freedom","1"
"fresh","1"
"friend","1"
"friendship","1"
"frolic","1"
"frugal","1"
"fruit","1"
"fruition","1"
"fulfil","1"
"full","1"
"funni","1"
"gaieti","1"
"gaili","1"
"gain","1"
"gallant","1"
"gallantri","1"
"game","1"
"garnish","1"
"gay","1"
"generat","1"
"generos","1"
"generous","1"
"genial","1"
"genius","1"
"gentl","1"
"genuin","1"
"giddi","1"
"gift","1"
"give","1"
"glad","1"
"gladden","1"
"glamor","1"
"glamour","1"
"gleam","1"
"glean","1"
"glee","1"
"glimmer","1"
"glisten","1"
"glitter","1"
"glorifi","1"
"glorious","1"
"glori","1"
"glossi","1"
"glow","1"
"godlik","1"
"godli","1"
"gold","1"
"golden","1"
"good","1"
"goodby","1"
"gorgeous","1"
"grace","1"
"gracious","1"
"graduat","1"
"grand","1"
"grandeur","1"
"grate","1"
"gratif","1"
"gratifi","1"
"gratitud","1"
"great","1"
"greet","1"
"groom","1"
"guarante","1"
"guardian","1"
"guid","1"
"gusto","1"
"hallow","1"
"handsom","1"
"handi","1"
"happi","1"
"hardi","1"
"harmless","1"
"harmoni","1"
"harmon","1"
"har","1"
"haven","1"
"heal","1"
"health","1"
"healthi","1"
"heart","1"
"heartili","1"
"heaven","1"
"hero","1"
"heroic","1"
"heroin","1"
"heroism","1"
"highlight","1"
"hilari","1"
"holi","1"
"homag","1"
"honest","1"
"honeymoon","1"
"honor","1"
"hope","1"
"hospit","1"
"hug","1"
"human","1"
"humanitarian","1"
"humbl","1"
"humil","1"
"humor","1"
"hygien","1"
"ideal","1"
"idol","1"
"illumin","1"
"illustri","1"
"imagin","1"
"immacul","1"
"immort","1"
"imparti","1"
"imper","1"
"impervi","1"
"impetus","1"
"import","1"
"impress","1"
"improv","1"
"impun","1"
"inaugur","1"
"independ","1"
"indescrib","1"
"indic","1"
"indispens","1"
"individu","1"
"indomit","1"
"industri","1"
"inexpens","1"
"infal","1"
"infer","1"
"inform","1"
"ingeni","1"
"ingenu","1"
"inherit","1"
"innoc","1"
"innov","1"
"inquisit","1"
"insepar","1"
"insight","1"
"insist","1"
"inspir","1"
"instinct","1"
"integr","1"
"intellect","1"
"intellectu","1"
"intellig","1"
"interced","1"
"intercours","1"
"interest","1"
"interpos","1"
"intimaci","1"
"intim","1"
"intric","1"
"intrigu","1"
"invalu","1"
"inventor","1"
"invinc","1"
"invit","1"
"invulner","1"
"irresist","1"
"jest","1"
"join","1"
"joint","1"
"joke","1"
"jolli","1"
"joy","1"
"jubil","1"
"jubile","1"
"just","1"
"justic","1"
"justifi","1"
"justif","1"
"keen","1"
"kid","1"
"kind","1"
"kiss","1"
"know","1"
"knowledg","1"
"laudabl","1"
"laughter","1"
"lavish","1"
"law","1"
"lead","1"
"learn","1"
"learner","1"
"legal","1"
"legitimaci","1"
"legitim","1"
"leisur","1"
"liber","1"
"liberti","1"
"lifelong","1"
"light","1"
"likabl","1"
"like","1"
"live","1"
"logic","1"
"longev","1"
"love","1"
"loveli","1"
"lover","1"
"loyal","1"
"loyalti","1"
"lucid","1"
"luck","1"
"luckili","1"
"lucki","1"
"lucrat","1"
"lumin","1"
"lust","1"
"luster","1"
"lustrous","1"
"luxuri","1"
"lyric","1"
"magic","1"
"magnet","1"
"magnific","1"
"main","1"
"majest","1"
"majesti","1"
"major","1"
"manag","1"
"man","1"
"marit","1"
"marriag","1"
"marri","1"
"marvel","1"
"master","1"
"masteri","1"
"matchless","1"
"mate","1"
"matur","1"
"maxim","1"
"meaning","1"
"measur","1"
"mediat","1"
"medit","1"
"meet","1"
"mellow","1"
"melodi","1"
"memor","1"
"mend","1"
"mentor","1"
"merci","1"
"merit","1"
"meritori","1"
"merrili","1"
"merriment","1"
"merri","1"
"mesh","1"
"meticul","1"
"mighti","1"
"mild","1"
"minist","1"
"mint","1"
"miracl","1"
"miracul","1"
"mirth","1"
"mobil","1"
"moder","1"
"modern","1"
"modest","1"
"modesti","1"
"moment","1"
"monument","1"
"moral","1"
"moralist","1"
"motiv","1"
"multitud","1"
"mutual","1"
"myriad","1"
"natur","1"
"navig","1"
"neat","1"
"necessarili","1"
"negoti","1"
"nice","1"
"nich","1"
"nimbl","1"
"nobil","1"
"nobl","1"
"nobleman","1"
"noiseless","1"
"nomin","1"
"non-viol","1"
"normal","1"
"notabl","1"
"notorieti","1"
"nourish","1"
"novelti","1"
"nurs","1"
"nurtur","1"
"nutrient","1"
"oasi","1"
"obedi","1"
"obey","1"
"oblig","1"
"obtain","1"
"offer","1"
"offset","1"
"onset","1"
"onward","1"
"open","1"
"opportun","1"
"optim","1"
"optimist","1"
"option","1"
"organ","1"
"origin","1"
"outgo","1"
"outliv","1"
"outright","1"
"outrun","1"
"outset","1"
"outstand","1"
"outwit","1"
"overcom","1"
"overjoy","1"
"painstak","1"
"palat","1"
"palati","1"
"pamper","1"
"paradis","1"
"paramount","1"
"pardon","1"
"partner","1"
"partnership","1"
"passion","1"
"patienc","1"
"patient","1"
"patriot","1"
"patronag","1"
"pay","1"
"peac","1"
"peaceabl","1"
"peerless","1"
"perfect","1"
"perfection","1"
"perfectionist","1"
"perfum","1"
"permiss","1"
"permit","1"
"persever","1"
"persuas","1"
"pertin","1"
"picturesqu","1"
"pieti","1"
"pinnacl","1"
"pious","1"
"plain","1"
"plausibl","1"
"play","1"
"playmat","1"
"playth","1"
"pleasant","1"
"pleasantri","1"
"pleas","1"
"pleasur","1"
"pledg","1"
"plenti","1"
"poetic","1"
"poignant","1"
"pois","1"
"polish","1"
"polit","1"
"pomp","1"
"popular","1"
"popul","1"
"portabl","1"
"posit","1"
"poster","1"
"potenc","1"
"potent","1"
"practic","1"
"prais","1"
"pranc","1"
"precaut","1"
"preced","1"
"precept","1"
"precious","1"
"precis","1"
"preemin","1"
"prefer","1"
"premier","1"
"premis","1"
"premium","1"
"preparatori","1"
"prestig","1"
"prettili","1"
"pretti","1"
"priceless","1"
"pride","1"
"primarili","1"
"prime","1"
"princip","1"
"principl","1"
"privaci","1"
"privileg","1"
"privi","1"
"prize","1"
"pro","1"
"proactiv","1"
"prodigi","1"
"product","1"
"profess","1"
"proffer","1"
"profici","1"
"profit","1"
"profound","1"
"progress","1"
"prolif","1"
"promin","1"
"promis","1"
"prompt","1"
"proper","1"
"propiti","1"
"proprietari","1"
"proprieti","1"
"prosper","1"
"protect","1"
"protector","1"
"proud","1"
"provid","1"
"prowess","1"
"prudenc","1"
"prudent","1"
"punctual","1"
"pure","1"
"purif","1"
"purifi","1"
"puriti","1"
"purpos","1"
"purr","1"
"quaint","1"
"qualifi","1"
"qualiti","1"
"quench","1"
"quicken","1"
"radianc","1"
"radiant","1"
"radiat","1"
"ralli","1"
"rapport","1"
"rapt","1"
"raptur","1"
"rave","1"
"readili","1"
"real","1"
"realist","1"
"reap","1"
"reason","1"
"reassur","1"
"recept","1"
"reclaim","1"
"reclin","1"
"recompens","1"
"reconcil","1"
"reconcili","1"
"recreat","1"
"redeem","1"
"redempt","1"
"reestablish","1"
"refin","1"
"refug","1"
"regal","1"
"regard","1"
"rehabilit","1"
"reinforc","1"
"reinstat","1"
"rejoic","1"
"relax","1"
"relev","1"
"reliabl","1"
"relief","1"
"reliev","1"
"religi","1"
"relish","1"
"remark","1"
"remedi","1"
"remodel","1"
"renaiss","1"
"renew","1"
"renov","1"
"renown","1"
"repair","1"
"repar","1"
"repent","1"
"repos","1"
"reput","1"
"rescu","1"
"resolut","1"
"resolv","1"
"resound","1"
"resourc","1"
"respect","1"
"respit","1"
"resplend","1"
"respons","1"
"rest","1"
"restor","1"
"resurrect","1"
"return","1"
"reunion","1"
"reunit","1"
"revel","1"
"rever","1"
"revit","1"
"reviv","1"
"reward","1"
"rich","1"
"right","1"
"righteous","1"
"ripe","1"
"ripen","1"
"robust","1"
"romanc","1"
"romant","1"
"romantic","1"
"rosi","1"
"round","1"
"rous","1"
"sacr","1"
"safe","1"
"safeguard","1"
"safeti","1"
"sagac","1"
"sage","1"
"saint","1"
"salutari","1"
"salut","1"
"salvat","1"
"sanctifi","1"
"sanctuari","1"
"sane","1"
"sanguin","1"
"sanitari","1"
"saniti","1"
"satisfact","1"
"satisfactorili","1"
"satisfactori","1"
"satisfi","1"
"save","1"
"savor","1"
"savvi","1"
